token	weight	state_id
ainalady	165	9873
ainalaiyn	129	1030
ainalaiynau	226	90341
ainalaiyndar	195	38881
ainalama	221	84263
ainalamyz	220	82489
ainalany	214	72230
ainalar	213	70374
ainalasy	196	32888
ainalasyn	199	32889
ainalasyna	191	32890
ainalasynda	191	33537
ainalasyndağy	193	36811
ainalasyñ	219	80976
ainalatyn	200	46075
ainalaña	205	54598
ainalañda	213	70400
ainalağa	211	65827
ainaldy	163	6210
ainaldym	172	13921
ainaldyq	224	87408
ainaldyra	189	31286
ainaldyrady	196	41185
ainaldyru	168	11568
ainaldyruğa	207	58860
ainaldyryp	156	6213
ainaldyrğan	188	29239
ainalma	206	45229
ainalmai	200	46050
ainalmaly	199	45231
ainalsoq	213	70338
ainalu	178	18879
ainaluy	189	30834
ainaly	229	8627
ainalym	166	10400
ainalymda	213	70769
ainalymğa	200	47170
ainalyp	231	95115
ainalys	205	8628
ainalysa	202	19710
ainalysady	179	19712
ainalysam	204	53747
ainalysasyz	200	45914
ainalysasyñ	209	61628
ainalysatyn	180	20270
ainalysqan	190	32348
ainalysu	188	28918
ainalysuğa	204	53327
ainalysyp	162	8630
ainalğan	174	15531
ainalğanda	210	65100
ainam	213	43469
ainamköz	198	43472
ainany	203	32562
ainanyñ	190	32563
ainara	163	8939
ainasy	187	28601
ainaz	231	46914
ainazym	200	46916
ainağa	231	96751
ainaş	231	82953
ainaşka	221	82955
aino	228	92206
ainur	231	5514
ainura	154	5515
ainurda	217	63399
ainurdan	209	63400
ainurdyn	208	61218
ainurdyñ	201	48545
ainurka	198	42662
ainurğa	200	46908
ainymai	195	38265
ainymaidy	197	41706
ainymaly	188	29179
ainymas	200	46886
ainyp	158	7229
ainūr	231	22548
ainūrdan	206	57743
ainūrdy	201	22550
ainūrdyñ	182	22551
ainūrmen	212	67769
ainūrğa	184	24450
aipara	208	60685
aiqai	167	4619
aiqailady	205	55077
aiqailai	203	51206
aiqailaidy	205	54965
aiqailaimyn	227	90600
aiqailama	213	69468
aiqailap	151	4622
aiqailatyp	227	90566
aiqailağan	210	65259
aiqaiy	220	82062
aiqaiyn	226	89945
aiqalap	195	39147
aiqan	204	53927
aiqanyñ	219	79883
aiqas	200	47379
aiqasyp	222	85414
aiqyn	231	48747
aiqyndaidy	203	51770
aiqyndaityn	206	56996
aiqyndalady	201	48799
aiqyndap	201	48750
aiqyndau	202	50288
aiqyndauyş	227	91114
aiqynnyñ	219	79911
aiqynğa	221	83501
airan	231	64680
airandai	219	79813
airandy	210	64682
airanmen	215	73810
airanğa	217	76940
airylyp	177	18118
airylysyp	192	34162
airylğan	212	67341
airylğym	217	77516
airyqşa	179	19426
aisana	231	96212
aisara	231	97023
aisaule	231	93464
aisaulenıñ	229	93467
aisberg	219	80899
aisezım	181	21395
aisu	188	29020
aisulu	231	95513
aisymbat	214	72024
aisyz	224	87366
aisäule	185	26060
aisūltan	231	68218
aisūltandy	212	68220
aisūltanğa	218	78994
aisūlu	231	51443
aisūludy	215	51445
aisūludyñ	203	51446
ait	231	412
aita	231	649
aitaber	169	12357
aitaberıñız	219	80578
aitady	231	35746
aitadyğoi	193	35749
aitaiy	226	6937
aitaiyn	231	7820
aitaiynba	160	7822
aitaiynda	221	83518
aitaiynşy	180	20272
aitaiyq	158	6938
aitaiyqşy	195	38799
aitalmai	170	12642
aitalmaidy	217	77234
aitalmaimyn	191	33891
aitalyq	191	33877
aitam	231	650
aitama	231	32766
aitamai	191	32767
aitamba	186	27390
aitamda	163	8932
aitamgo	162	8632
aitamyn	123	652
aitamyz	135	1612
aitamyzba	192	34065
aitamğo	166	10464
aitamğoi	185	25509
aitar	231	9195
aitarda	222	84928
aitarlyq	229	12599
aitarlyqtai	170	12602
aitarmyn	172	14221
aitarmyz	207	59513
aitarsyn	181	21825
aitarsyz	174	15212
aitarsyzdar	211	66243
aitarsyñ	231	65779
aitarsyñdar	211	65782
aitary	208	9196
aitarym	231	9197
aitarymdy	163	9199
aitaryn	191	33254
aitaryñ	196	40530
aitaryñdy	197	42077
aitaryñyz	214	71344
aitarğa	183	23513
aitasal	197	41310
aitasyn	231	30339
aitasynba	189	30341
aitasyndar	192	34549
aitasyzba	175	16229
aitasyzdar	188	29952
aitasyzğoi	201	48234
aitasyñ	231	14824
aitasyñba	182	22244
aitasyñda	218	14826
aitasyñdar	173	14827
aitasyñğo	183	23953
aitasyñğoi	192	35118
aitatn	173	14969
aitatta	191	32935
aitatyn	231	26871
aitatyndai	186	27446
aitatyndar	192	34404
aitatyndy	217	77267
aitatynmyn	208	60900
aitatyny	186	26872
aitatynym	197	32898
aitatynymdy	191	32900
aitatynyn	186	27638
aitatynyñ	201	33685
aitatynyñdy	191	33687
aitağoi	181	21824
aitbai	181	21400
aitbek	186	27000
aitgül	211	65821
aiti	190	31400
aitin	204	53579
aitjamal	215	74145
aitjan	231	57325
aitjanova	206	57328
aitkanyñ	185	25804
aitkanyñyz	199	44933
aitmatov	211	66079
aitolqyn	231	96609
aitore	220	82288
aitpa	231	719
aitpady	141	2472
aitpadym	152	5097
aitpadyma	184	24484
aitpadyn	177	18248
aitpadynba	196	40398
aitpadyq	203	52030
aitpadyñ	152	5055
aitpadyñba	181	21344
aitpadyñdar	202	49808
aitpadyñyz	182	21949
aitpadyñyzba	214	71928
aitpai	231	720
aitpaiaq	162	8468
aitpaidy	150	4274
aitpaim	124	721
aitpaima	176	16607
aitpaimyn	150	4392
aitpaimyz	175	16567
aitpaisyn	164	9676
aitpaisynba	181	21259
aitpaisyz	178	18713
aitpaisyzba	198	43955
aitpaisyzdar	219	80386
aitpaisyñ	147	3634
aitpaisyñba	172	14096
aitpaisyñdar	190	32376
aitpaisyñdarma	214	72167
aitpaityn	159	7411
aitpaitynyñ	206	57558
aitpaiyn	198	43517
aitpaiyq	208	61327
aitpandar	189	30703
aitpap	196	40179
aitpapty	200	46933
aitpaq	195	39118
aitpaqtai	217	76927
aitpaqşy	231	94965
aitpas	185	8133
aitpasa	167	8134
aitpasada	200	47299
aitpasai	188	29166
aitpasam	166	10527
aitpasamda	199	45328
aitpasan	168	11895
