token	weight	state_id
ءسويلەسىپ	223	91727
ءسويلەمەي	219	89288
ءسويلەي	220	83871
ءسويلەپ	201	37125
ءسىرا	209	67089
ءسىز	153	5411
ءسىزبەن	216	72490
ءسىزدى	176	14481
ءسىزدىكى	225	94308
ءسىزدىڭ	180	15600
ءسىزدە	200	34389
ءسىزدەر	204	41821
ءسىزدەردى	213	90244
ءسىزدەردىڭ	222	90538
ءسىزدەرگە	209	47685
ءسىزدەن	203	40799
ءسىزگە	178	13935
ءسىپ	205	53498
ءسىڭ	208	34425
ءسىڭلىم	226	101585
ءسىڭىلىم	197	34429
ءسپ	230	112537
ءسڭلىم	221	90558
ءسڭىلىم	228	93349
ءسۇت	186	18038
ءسۇتتى	226	78237
ءسۇز	210	55974
ءسۇيت	228	33605
ءسۇيتىپ	198	33607
ءسۇيىپ	205	49117
ءشارشاپ	208	50408
ءشاش	212	38352
ءشاشۋ	214	89341
ءشاي	154	5191
ءشايدى	213	48797
ءشايدىڭ	218	62466
ءشايعا	222	91195
ءشايى	223	79799
ءشايىن	219	79800
ءشايىڭدى	222	99125
ءشتى	225	47285
ءشتىك	228	103832
ءشتىم	206	47286
ءشتىڭبە	220	70052
ءشتەمە	222	73695
ءشسەڭ	222	81056
ءشكى	225	67541
ءشكىم	216	67542
ءشكەلى	219	80130
ءشكەم	224	82576
ءشكەن	211	51701
ءشندە	216	68147
ءشول	215	80032
ءشولدەپ	229	112204
ءشوپ	177	20664
ءشوپتى	223	112621
ءشىركىن	220	104614
ءشىم	202	37328
ءشىن	215	40404
ءشىندە	205	40406
ءشىنە	225	97521
ءشىپ	154	5676
ءشىڭ	222	93152
ءشپە	218	73540
ءشپەدىم	228	101729
ءشپەي	217	73541
ءشپەيمىن	218	75091
ءشەتىن	211	54374
ءشەدى	221	79361
ءشەسىڭ	225	106178
ءشەم	215	67124
ءشەمىز	219	68697
ءشەيىك	204	42562
ءشەيىن	219	80328
ءكورىپ	228	99839
ءكوپ	220	74286
ءلازات	225	92855
ءلاززات	211	58408
ءلالا	213	65602
ءماريا	225	109927
ءماز	182	16754
ءماسساعان	226	102777
ءماسەلە	228	104064
ءمالىم	210	61824
ءمان	194	12806
ءمانتى	196	25822
ءماندى	199	12808
ءمانسى	219	80375
ءمانى	210	61247
ءمانىسى	213	61328
ءمانىن	222	85442
ءماڭگى	199	31438
ءمولدىر	200	19537
ءمىن	214	51583
ءمىنىپ	211	51585
ءنار	216	63637
ءنارسە	215	63639
ءنازىر	217	61048
ءنازىرى	225	110732
ءنازىك	227	97729
ءناسىپ	195	17731
ءنول	220	73689
ءنومىر	189	20380
ءنومىردى	228	97279
ءنومىرى	182	20381
ءنومىرىم	226	85916
ءنومىرىن	189	23819
ءنومىرىڭدى	211	58295
ءنومىرىڭىزدى	224	107109
ءنىم	217	73919
ءوتبەي	228	107690
ءوتتى	184	20920
ءوتتىك	223	94249
ءوتتىم	208	51020
ءوترىك	222	90366
ءوتسىن	220	60533
ءوتسە	216	72879
ءوتكىزىپ	190	23131
ءوتكەن	190	21763
ءوتكەندە	205	41675
ءوتىرك	222	63361
ءوتىرىك	161	6911
ءوتىرىكشى	210	53844
ءوتىنىش	214	72931
ءوتىپ	148	5406
ءوتىپتى	221	106724
ءوتپەي	209	47836
ءوتۋ	222	91848
ءوتە	165	8486
ءوتەتىن	218	71053
ءوتەدى	209	47594
ءوتەسىڭ	227	106773
ءوتەم	223	83286
ءورت	212	60232
ءورتەنىپ	224	108105
ءورتەپ	227	76265
ءورلەيتىن	223	87315
ءورلەپ	202	36754
ءورىك	214	55169
ءورىپ	223	97269
ءوزارا	206	41150
ءوزدە	202	11294
ءوزدەرى	179	11296
ءوزدەرىنىڭ	228	107001
ءوزدەرىنە	225	98452
ءوزدەرىڭ	171	11297
ءوزدەرىڭدە	225	66221
ءوزدەرىڭىز	199	33414
ءوزدەرىڭىزگە	221	75143
ءوزدەرىڭە	213	60896
ءوزم	225	80175
ءوزمدى	227	99301
ءوزمىز	219	80177
ءوزنىڭ	223	99490
ءوزى	128	1297
ءوزىدە	181	16443
ءوزىم	136	2587
ءوزىمدى	176	14220
ءوزىمدىكى	219	76313
ءوزىمدە	182	17761
ءوزىمشىل	222	88507
ءوزىمشە	213	56801
ءوزىمنىڭ	192	26427
ءوزىمنەن	210	56376
ءوزىمىز	174	12679
ءوزىمىزدى	218	38991
ءوزىمىزدىڭ	200	38992
ءوزىمىزدە	225	93894
ءوزىمىزگە	218	73274
ءوزىمە	181	16533
ءوزىمەن	221	81158
ءوزىن	180	15538
ءوزىندىك	226	91496
ءوزىندە	202	38054
ءوزىنشە	214	66159
ءوزىنىڭ	188	22936
ءوزىنە	183	17672
ءوزىنەن	199	35682
ءوزىڭ	118	1298
ءوزىڭدى	154	6106
ءوزىڭدىكى	214	47283
ءوزىڭدە	175	12477
ءوزىڭدەي	219	88607
ءوزىڭسىڭ	220	78234
ءوزىڭشى	180	18359
ءوزىڭشە	217	70742
ءوزىڭمەن	200	38689
ءوزىڭنىڭ	190	23204
ءوزىڭنەن	196	33072
